Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Customer,Chrome 95.0.4638.54,,,2021-10-22 15:17:20,2021-10-22 15:18:18,58.350s,FAILED
,,,,,,,
Test Cases/Verify Customer Name,Chrome 95.0.4638.54,,,2021-10-22 15:17:20,2021-10-22 15:17:34,13.673s,PASSED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-22 15:17:21,2021-10-22 15:17:25,3.929s,PASSED
"navigateToUrl(""http://demo.guru99.com/v1/"")",Chrome 95.0.4638.54,,,2021-10-22 15:17:25,2021-10-22 15:17:27,2.208s,PASSED
"setText(findTestObject(""Page_GTPL Bank Home Page/input_()_uid""), ""mngr358145"")",Chrome 95.0.4638.54,,,2021-10-22 15:17:27,2021-10-22 15:17:28,1.011s,PASSED
"setText(findTestObject(""Page_GTPL Bank Home Page/input_()_password""), ""zytahur"")",Chrome 95.0.4638.54,,,2021-10-22 15:17:28,2021-10-22 15:17:29,0.773s,PASSED
"click(findTestObject(""Page_GTPL Bank Home Page/input_mandatory field_btnLogin""))",Chrome 95.0.4638.54,,,2021-10-22 15:17:29,2021-10-22 15:17:30,1.804s,PASSED
"click(findTestObject(""Page_Gtpl Bank New Customer Entry Page/a_New Customer""))",Chrome 95.0.4638.54,,,2021-10-22 15:17:30,2021-10-22 15:17:31,0.918s,PASSED
"setText(findTestObject(""Page_Gtpl Bank New Customer Entry Page/input__name""), cusName)",Chrome 95.0.4638.54,,,2021-10-22 15:17:31,2021-10-22 15:17:32,0.760s,PASSED
"click(findTestObject(""Page_Gtpl Bank New Customer Entry Page/textarea__addr""))",Chrome 95.0.4638.54,,,2021-10-22 15:17:32,2021-10-22 15:17:33,0.521s,PASSED
"verifyElementText(findTestObject(""Page_Gtpl Bank New Customer Entry Page/label_Customer name error""), error)",Chrome 95.0.4638.54,,,2021-10-22 15:17:33,2021-10-22 15:17:33,0.501s,PASSED
closeBrowser(),Chrome 95.0.4638.54,,,2021-10-22 15:17:33,2021-10-22 15:17:34,0.821s,PASSED
,,,,,,,
